Model Name,Color,Storage,SKU Code,Product Price,Original Price,Financing Option,Badge,Offers,Product Rating,Number of Ratings,Stock Status,Product URL
Bespoke 4-Door Upper Panel,silver,Default,RA-F18DU4QL/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-silver-ra-f18du4ql-aa/
Bespoke 4-Door Upper Panel,pale turquoise,Default,RA-F18DU4CM/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-blue-ra-f18du4cm-aa/
Bespoke 4-Door Upper Panel,gray,Default,RA-F18DU431/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-gray-ra-f18du431-aa/
Bespoke 4-Door Upper Panel,cloud navy,Default,RA-F18DU4QN/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-cloud-navy-ra-f18du4qn-aa/
Bespoke 4-Door Upper Panel,mocha gray,Default,RA-F18DU433/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-mocha-gray-ra-f18du433-aa/
Bespoke 4-Door Upper Panel,green,Default,RA-F18DU4QG/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-green-ra-f18du4qg-aa/
Bespoke 4-Door Upper Panel,phantom black,Default,RA-F18DU4MT/AA,Not Available,Not Available,Not Applicable,None,None,3.7,106,In Stock,https://www.samsung.com/ca/refrigerators/bespoke-4-door-upper-panel-18-cu-ft-black-ra-f18du4mt-aa/
"36"" Bespoke 4 Door French Door Refrigerator with Autofill P...",silver,Default,RF29BB8200QLAA,Not Available,Not Available,Not Applicable,None,None,4.5,99,In Stock,https://www.samsung.com/ca/refrigerators/french-door/rf8000b-4-door-french-door-autofill-pitcher-29-cu-ft-silver-rf29bb8200qlaa/
Bespoke 4-Door Flex Refrigerator Bottom Panel,white,Default,RA-F18DBB35/AA,Not Available,Not Available,Not Applicable,None,None,1,16,In Stock,https://www.samsung.com/ca/home-appliance-accessories/bespoke-panels--rf9000a-ra-f18dbb35-aa/
Bespoke 4-Door Flex Refrigerator Bottom Panel,pink,Default,RA-F18DBBP0/AA,Not Available,Not Available,Not Applicable,None,None,1,16,In Stock,https://www.samsung.com/ca/home-appliance-accessories/bespoke-door-panel-4d-flex-bottom-18-cu-ft-pink-ra-f18dbbp0-aa/
Bespoke 4-Door Flex Refrigerator Bottom Panel,orange,Default,RA-F18DBBCH/AA,Not Available,Not Available,Not Applicable,None,None,1,16,In Stock,https://www.samsung.com/ca/home-appliance-accessories/bespoke-door-panel-4d-flex-bottom-18-cu-ft-orange-ra-f18dbbch-aa/
Bespoke 4-Door Flex Refrigerator Bottom Panel,vivid lemon,Default,RA-F18DBBC0/AA,Not Available,Not Available,Not Applicable,None,None,1,16,In Stock,https://www.samsung.com/ca/home-appliance-accessories/bespoke-door-panel-4d-flex-bottom-18-cu-ft-vividlemon-ra-f18dbbc0-aa/
Bespoke 4-Door Flex Refrigerator Bottom Panel,silver,Default,RA-F18DBBQL/AA,Not Available,Not Available,Not Applicable,None,None,1,16,In Stock,https://www.samsung.com/ca/home-appliance-accessories/bespoke-door-panel-4d-flex-bottom-18-cu-ft-silver-ra-f18dbbql-aa/
